defect name,Issue Qualifier,Source,Defect Group,description,code example,code fix example,Detectability,Pylint,Flake8,Edulint,Vulture,NonEnglishNameDetector
Duplicate Block in If,Duplication,Control/Block,Group1,Duplicate blocks inside if/elif/else where the condition could be evaluated inside the block to avoid duplication.,"if line % 2 == 0:
    for i in range(width // 2):
        print(""# "")
else:
    for i in range(width // 2):
        print("" #"")","for i in range(width // 2):
    print(""# "" if line % 2 == 0 else "" #"")",Detectable,,,"R6501 The branches of the 'if' statement are identical. Remove the 'if' if it is on purpose, or change the branches if not.(Emitted when all branches of an ‘if’ statement contain identical code.)
R6556 The branches of the 'if' statement are similar. Move the 'if' into the branches, so that it only contains lines 3, 6, but only if the if's body has no effect on the condition's value.（Emitted when an ‘if’ statement wraps too long part of a block (similar to identical-if-branches-part, but this one can suggest moving if into a for loop, for example).）
R6559 The branches of the 'if' statement are similar. Use helper variables to store the values that differ between the branches, or create a helper function.（Emitted when the duplication between if statement’s branches can be avoided using helper variables or functions.）",,
No Early Return,Unsuitable,Expressions,Group1,A condition executes a long code block in the positive branch and a short one in the negative branch.,"if cond:
    # long code
else:
    return 0","if not cond:
    return 0
# long code",Special Case,,,"R6616 Use early return（Emitted when a long block of code is followed by an else that just returns, breaks or continues.）",,
Unnecessary Else/Elif,Unnecessary,Expressions,Group1,Redundant use of else after return/break/continue.,"if c:
    return val1
else:
    return val2","if c:
    return val1
return val2",Detectable,"R1705: Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it (no-else-return)（Used in order to highlight an unnecessary block of code following an if, or a try/except containing a return statement. As such, it will warn when it encounters an else following a chain of ifs, all of them containing a return statement.）
R1723: Unnecessary ""else"" after ""break"", remove the ""else"" and de-indent the code inside it (no-else-break)（Used in order to highlight an unnecessary block of code following an if containing a break statement. As such, it will warn when it encounters an else following a chain of ifs, all of them containing a break statement.）
R1724: Unnecessary ""else"" after ""continue"", remove the ""else"" and de-indent the code inside it (no-else-continue)（Used in order to highlight an unnecessary block of code following an if containing a continue statement. As such, it will warn when it encounters an else following a chain of ifs, all of them containing a continue statement.）","WPS503 Found useless returning `else` statement（Forbid useless else cases in returning functions. We check single if, for, while, and try statements that all contain return, raise, continue, or break statements with this rule.）","R1705 Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it [default]
R1723 Unnecessary ""else"" after ""break"", remove the ""else"" and de-indent the code inside it [default]
",,
Augmentable Assignment,Unsuitable,Expressions,Group1,A variable update expressible as an augmented assignment.,x = x + 4,x += 4,Detectable,,,R6609 Use augmented assignment: 'XXX' [default]（Emitted when an assignment can be simplified by using its augmented version.）,,
Unused Import,Unnecessary,Data,Group1,A module that is imported but unused.,"import math
print(max(3, 4))","print(max(3, 4))",Detectable,W0611: Unused XXX imported (unused-import)（Used when an imported module or variable is not used.）,F401 'XXX' imported but unused（A module has been imported but is not used anywhere in the file. The module should either be used or the import should be removed.）,F401 'XXX' imported but unused [default],unused import 'XX' (XX% confidence),
Unnecessary Operator,Unnecessary,Expressions,Group1,The code uses unnecessary plus or double negation.,"profit = +3.33
profit = ---3.33
number = ~~42
bar = not not foo","profit = 3.33
prift = -3.33
number = 42
bar = foo",Detectable,,"WPS330 Found unnecessary operator(Forbid unnecessary operators in your code. You can write: 5.4 and +5.4. There’s no need to use the second version. Similarly --5.4, ---5.4, not not foo, and ~~42 contain unnecessary operators.)
SIM208 Use 'foo' instead of 'not (not foo)'","
WPS330 Found unnecessary operator: 3.33",,
Redundant Arithmetic,Unnecessary,Expressions,Group1,Identity operation or constant-valued expression.,"1*x, x/x","x, 1.0",Detectable,,WPS345 Found meaningless number operation,"R6608 Redundant arithmetic(Emitted when there is redundant arithmetic (e.g. +0, *1) in an expression.)",,
Unnecessary Parenthesis,Unclear,Typographic,Group1  + Group2 (TP2),Parentheses used unnecessarily in a single item condition.,return(value),return value,Detectable,"C0325: Unnecessary parens after 'XX' keyword (superfluous-parens)（Used when a single item in parentheses follows an if, for, or other keyword.）",,C0325 Unnecessary parens after 'XX' keyword [enhancement],,
Trivial Comment,Unnecessary,Documentation,Group1 + Group2 (DC1),The code contains trivial comment directly corresponding to the statement.,x += 1  # increase value by 1,x += 1,Undetectable,,,,,
Redundant Variable/Attribute,Duplication,Data,Group1 + Group2 (DT5）,"The code contains two variables/attributes, where one can be cheaply computed from the other.","values = []
between = m - 1

for i in range(m, n + 1):
    between += 1
    if between % 6 != 0:
        if between % 3 == 0:
            values.append(between)
        elif between % 2 == 0:
            values.append(between)

print(values)","values = []

for i in range(m, n + 1): 
    if i % 6 != 0:
        if i % 3 == 0:
            values.append(i)
        elif i % 2 == 0:
            values.append(i)

print(values)",Undetectable,,,,,
Redundant condition (followed by loop),Unnecessary,Organization,Group1 + Group2 (OR2),"There is a condition in the code that can be removed, because a following loop would perform no iteration and return the same result.","if len(lst) == 0:
    return 0
sum = 0
for i in range(len(lst)):
    # body
return sum","sum = 0
for i in range(len(lst)):
# body
return sum",Undetectable,,,,,
List for Membership Testing,Unsuitable,Data,Group1,"The code frequently tests for membership in a list, which could just as well be a set.","while cond:
    ...
    if value in num_list: ...","while cond:
   ...
   if value in num_set: ...",Special Case,R6201: Consider using set for membership test (use-set-for-membership)（Membership tests are more efficient when performed on a lookup optimized datatype like ``sets``.）,,,,
Repeated Arithmetic Operation,Duplication,Expressions,Group1,Repeated use of the same arithmetic operation over the same expression. ,"y = x+x+x
z = x*x*x","y = 3 * x
z = x ** 3",Detectable,,,R6607 Use exponentiation instead of repeated muliplication in X * X * X. [enhancement]（Emitted when the code contains repeated adition/multiplication instead of multiplication/exponentiation.）,,
Local Variable Used Only to Return,Unnecessary,Data,Group1 + Group2 (DT4),A local variable is used only in a return statement.,"def new_row(N, comb):
    res = 0  
    if N <= 0:
        res = sum(comb)  
        return res
    
    copy = comb[:]  
    for i in range(len(comb)):
        if comb[i] != 0:
            comb[i] = copy[i-5] + copy[i+5] + copy[i+1] + copy[i-1]
    
    res = new_row(N-1, comb)  
    return res","def new_row(N, comb):
    if N <= 0:
        return sum(comb) 
    
    copy = comb[:] 
    for i in range(len(comb)):
        if comb[i] != 0:
            comb[i] = copy[i-5] + copy[i+5] + copy[i+1] + copy[i-1]
    
    return new_row(N-1, comb) ",Detectable,," WPS331 Found variables that are only used for `return`: result（Forbid local variables that are only used in return statements. We also allow cases when a variable is assigned, then there are some other statements without direct variable access and the variable is returned. We reserve this use-case to be able to do some extra work before the function returns. We also allow the return of partial, sorted, or modified tuple items that are defined just above.）",WPS331 Found variables that are only used for `return`: result,,
Missing Docstring,Missing,Documentation,Group1 + Group2 (DC4),"A class, function, or method does not have a docstring.","class Person: 
    def __init__(self, first_name, last_name):
        self.first_name = first_name
        self.last_name = last_name","class Person:
    """"""Class representing a person.""""""

    def __init__(self, first_name, last_name):
        """"""
        Initialize a Person instance.

        Args:
            first_name (str): The person's first name.
            last_name (str): The person's last name.
        """"""
        self.first_name = first_name
        self.last_name = last_name",Detectable,"C0116: Missing function or method docstring (missing-function-docstring)（Used when a function or method has no docstring. Some special methods like __init__ do not require a docstring.）
C0115: Missing class docstring (missing-class-docstring)（Used when a class has no docstring. Even an empty class must have a docstring.）","D101 Missing docstring in public class
D102 Missing docstring in public method
D103 Missing docstring in public function",,,
Missing Type Annotation in Annotated Code,Missing,Documentation,Group1,A function or attribute misses a type annotation in code that uses them.,"def inc(x):  # Error: Function is missing a type annotation
    return x + 1","def inc_ok(x: int) -> int: 
    return x + 1",Undetectable,,,,,
Calling Dunder Method,Unsuitable,Expressions,Group1,The code explicitly calls a double-underscore method instead of using the standard approach.,x.__gt__(2),x > 2,Detectable,C2801: Unnecessarily calls dunder method_ XXX_. Use * operator. (unnecessary-dunder-call)（Used when a dunder method is manually called instead of using the corresponding function/method/operator.）,WPS609 Found direct magic attribute usage: _XXX_（Forbid directly calling certain magic attributes and methods.）,WPS609 Found direct magic attribute usage: __XXX__,,
Inconsistent Returns,Inconsistent,Control/Block,Group1,The code sometimes returns a value explicitly and sometimes returns implicit None.,"if cond:
    return True
return","if cond:
    return True
return None",Detectable," R1710: Either all return statements in a function should return an expression, or none of them should. (inconsistent-return-statements)(According to PEP8, if any return statement returns an expression, any return statements where no value is returned should explicitly state this as return None, and an explicit return statement should be present at the end of the function (if reachable))",,"R1710 Either all return statements in a function should return an expression, or none of them should. [python-specific]
R6206 Both branches should return a value explicitly (one returns implicit None) [default]",,
Unnecessary Pass,Unnecessary,Control/Block,Group1,A redundant pass statement in function bodies.,"def fun():
    pass
    # body","def fun():
    # body",Detectable,"W0107: Unnecessary pass statement (unnecessary-pass)（Used when a ""pass"" statement can be removed without affecting the behaviour of the code.）",,W0107 Unnecessary pass statement [default],,
Redundant Not,Unclear,Expressions,Group1 + Group2 (EX4),Boolean expression with unnecessary negation.,not a <= b,a > b,Detectable,"C0117 Consider changing ""not X <**"" to ""X >= **"" (Used when a boolean expression contains an unneeded negation, e.g. when two negation operators cancel each other out.)", WPS508 Found incorrect `not` with compare usage（Forbid not with compare expressions.）,"C0117 Consider changing  ""not X <**"" to ""X >= **"" [default]
WPS508 Found incorrect `not` with compare usage",,
Zero-Length Compare,Unsuitable,Expressions,Group1,Emptiness of a container is tested by comparing its size to zero instead of the pythonic way of converting the container itself to bool.,if len(lst) == 0:,if not lst:,Detectable,"C1805: ""len(lst) == 0"" can be simplified to ""not len(lst)"", if it is strictly an int, as 0 is falsey (use-implicit-booleaness-not-comparison-to-zero)","WPS507 Found useless `len()` compare(Forbid unpythonic zero-length compare.Python’s structures like dicts, lists, sets, and tuples all have __bool__ method to checks their length. So, there’s no point in wrapping them into len(...) and checking that it is bigger that 0 or less then 1, etc.)",WPS507 Found useless `len()` compare,,
